epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.0413,1.77178,1.42401,1.21239,0.69221,0.46556,0.54426,0.29402,1.53727,1.2575,1.11297,0.000661578,0.000661578,0.000661578
2,75.0157,1.54832,0.93064,1.08364,0.83124,0.6627,0.77329,0.46494,1.33205,0.82188,1.04816,0.00131509,0.00131509,0.00131509
3,108.971,1.4849,0.87189,1.0547,0.80069,0.65096,0.76491,0.4161,1.54651,0.90017,1.14507,0.00195541,0.00195541,0.00195541
4,142.593,1.45473,0.83817,1.04735,0.85096,0.69173,0.79575,0.47443,1.39703,0.83605,1.07324,0.0019406,0.0019406,0.0019406
5,176.194,1.4175,0.81414,1.03694,0.86432,0.69744,0.81307,0.49451,1.31963,0.78497,1.03837,0.0019208,0.0019208,0.0019208
6,209.988,1.37494,0.77972,1.01765,0.81632,0.65116,0.76185,0.44852,1.37077,0.85032,1.08233,0.001901,0.001901,0.001901
7,243.66,1.34102,0.763,1.01329,0.87061,0.7452,0.83287,0.52109,1.2767,0.76024,1.03676,0.0018812,0.0018812,0.0018812
8,277.402,1.31845,0.74302,1.00364,0.87552,0.74614,0.84771,0.55169,1.19333,0.68684,1.00535,0.0018614,0.0018614,0.0018614
9,311.244,1.31547,0.73329,1.00279,0.89431,0.73212,0.84712,0.54391,1.21259,0.67472,1.00191,0.0018416,0.0018416,0.0018416
10,345.076,1.27845,0.70999,0.99281,0.89773,0.74368,0.85983,0.55955,1.14669,0.64903,0.98407,0.0018218,0.0018218,0.0018218
11,378.943,1.26438,0.70902,0.98931,0.88385,0.74362,0.84965,0.55252,1.18264,0.65273,0.9922,0.001802,0.001802,0.001802
12,412.556,1.24145,0.69153,0.98491,0.91099,0.73396,0.85674,0.56161,1.15516,0.7104,0.98913,0.0017822,0.0017822,0.0017822
13,446.336,1.24974,0.69304,0.98197,0.88216,0.76967,0.87017,0.57466,1.15069,0.64263,0.98448,0.0017624,0.0017624,0.0017624
14,480.096,1.22387,0.67745,0.9744,0.89727,0.77636,0.87814,0.59618,1.09318,0.61393,0.96458,0.0017426,0.0017426,0.0017426
15,514.136,1.21072,0.67215,0.97126,0.89421,0.77267,0.878,0.59524,1.09463,0.60635,0.95709,0.0017228,0.0017228,0.0017228
16,547.961,1.18914,0.65924,0.96976,0.90352,0.76439,0.8772,0.58687,1.13632,0.62689,0.97817,0.001703,0.001703,0.001703
17,581.777,1.19825,0.65476,0.96382,0.89834,0.79069,0.88854,0.61196,1.06472,0.5868,0.95568,0.0016832,0.0016832,0.0016832
18,615.74,1.19082,0.65312,0.96648,0.90745,0.76954,0.88024,0.60961,1.05735,0.58906,0.95617,0.0016634,0.0016634,0.0016634
19,649.584,1.15576,0.63377,0.95785,0.90386,0.77752,0.88304,0.61451,1.05598,0.58561,0.95011,0.0016436,0.0016436,0.0016436
20,683.657,1.16191,0.6369,0.96108,0.88792,0.79864,0.89085,0.6162,1.06131,0.5874,0.95328,0.0016238,0.0016238,0.0016238
21,717.338,1.15145,0.63435,0.95698,0.89987,0.79147,0.88664,0.60012,1.07828,0.59802,0.96322,0.001604,0.001604,0.001604
22,751.507,1.14845,0.62718,0.95373,0.90489,0.79876,0.89687,0.62951,1.02307,0.56201,0.94373,0.0015842,0.0015842,0.0015842
23,784.762,1.13696,0.62026,0.95119,0.91792,0.78763,0.89406,0.63274,1.02424,0.56035,0.94295,0.0015644,0.0015644,0.0015644
24,818.227,1.13713,0.62225,0.95177,0.91923,0.78293,0.89058,0.6271,1.02655,0.55621,0.9408,0.0015446,0.0015446,0.0015446
25,851.733,1.12251,0.60982,0.94951,0.90689,0.79129,0.89261,0.63298,1.01714,0.56566,0.94433,0.0015248,0.0015248,0.0015248
26,885.182,1.12287,0.61328,0.94675,0.91076,0.79628,0.90086,0.63824,0.99683,0.54405,0.93753,0.001505,0.001505,0.001505
27,918.809,1.10974,0.60362,0.94413,0.9043,0.80276,0.90059,0.63068,1.01679,0.55743,0.94357,0.0014852,0.0014852,0.0014852
