epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.9928,1.8677,1.76072,1.2963,0.80079,0.43105,0.58396,0.32104,1.50328,1.3874,1.10299,0.00330789,0.00330789,0.00330789
2,79.652,1.62911,0.99121,1.10168,0.82527,0.65959,0.75232,0.43654,1.38393,0.88538,1.05611,0.00660835,0.00660835,0.00660835
3,114.087,1.64401,0.97061,1.09035,0.81317,0.66459,0.76747,0.41698,1.46162,0.92781,1.07731,0.00987581,0.00987581,0.00987581
4,148.015,1.6022,0.94327,1.07815,0.76038,0.69306,0.77021,0.42212,1.48439,0.92889,1.08436,0.0098515,0.0098515,0.0098515
5,182.478,1.51993,0.88603,1.05477,0.85898,0.7074,0.81179,0.48488,1.32369,0.80709,1.04059,0.009802,0.009802,0.009802
6,216.916,1.47453,0.84423,1.03746,0.8453,0.69242,0.78873,0.47907,1.33008,0.82893,1.04648,0.0097525,0.0097525,0.0097525
7,251.763,1.42598,0.8178,1.02884,0.87003,0.73001,0.83053,0.4917,1.35924,0.76568,1.03743,0.009703,0.009703,0.009703
8,285.526,1.38924,0.78425,1.01368,0.87805,0.71907,0.82999,0.50398,1.28532,0.74771,1.02627,0.0096535,0.0096535,0.0096535
9,319.639,1.37067,0.77593,1.01127,0.85635,0.72551,0.83625,0.52506,1.22513,0.72248,1.01638,0.009604,0.009604,0.009604
10,354.109,1.34698,0.75655,1.00474,0.87737,0.73851,0.84537,0.53395,1.24212,0.70122,1.00455,0.0095545,0.0095545,0.0095545
11,388.515,1.3244,0.74237,0.99803,0.89813,0.73443,0.85197,0.55485,1.16076,0.67756,0.99028,0.009505,0.009505,0.009505
12,423.256,1.30645,0.73177,0.99391,0.89559,0.74443,0.85128,0.54936,1.18365,0.70579,0.98625,0.0094555,0.0094555,0.0094555
13,457.793,1.29396,0.71927,0.98669,0.89336,0.75538,0.86426,0.56858,1.15337,0.66569,0.98463,0.009406,0.009406,0.009406
14,492.349,1.27826,0.70763,0.98173,0.9071,0.77018,0.87486,0.58957,1.11528,0.64157,0.97069,0.0093565,0.0093565,0.0093565
15,527.088,1.25821,0.7014,0.97768,0.89751,0.7801,0.87865,0.57747,1.1417,0.64464,0.97806,0.009307,0.009307,0.009307
16,561.232,1.24061,0.69196,0.9775,0.89152,0.78615,0.87427,0.5739,1.12507,0.64105,0.97879,0.0092575,0.0092575,0.0092575
17,595.034,1.23869,0.68265,0.96964,0.9096,0.77726,0.87998,0.58243,1.13607,0.62183,0.96918,0.009208,0.009208,0.009208
18,629.097,1.2299,0.67913,0.97318,0.91041,0.77844,0.88066,0.588,1.10717,0.62313,0.96205,0.0091585,0.0091585,0.0091585
19,662.783,1.20724,0.66548,0.96679,0.9065,0.78563,0.88444,0.59733,1.10128,0.60316,0.96052,0.009109,0.009109,0.009109
20,696.741,1.20846,0.66329,0.96813,0.89261,0.78339,0.88135,0.6004,1.074,0.60824,0.95609,0.0090595,0.0090595,0.0090595
21,730.609,1.19497,0.65689,0.96187,0.90458,0.77997,0.88317,0.6016,1.0836,0.59002,0.96539,0.00901,0.00901,0.00901
22,765.069,1.20033,0.65646,0.95938,0.90292,0.78563,0.88848,0.60662,1.07339,0.59825,0.95299,0.0089605,0.0089605,0.0089605
23,800.584,1.18747,0.65202,0.95741,0.91542,0.78172,0.89049,0.6121,1.06916,0.59327,0.95523,0.008911,0.008911,0.008911
24,834.495,1.18106,0.64912,0.95465,0.92589,0.77849,0.89035,0.61303,1.07316,0.58735,0.94787,0.0088615,0.0088615,0.0088615
25,869.656,1.17712,0.64239,0.95464,0.9081,0.79767,0.89722,0.62291,1.05427,0.57834,0.94595,0.008812,0.008812,0.008812
26,904.12,1.16896,0.63816,0.95162,0.91114,0.79602,0.8963,0.62733,1.03443,0.56787,0.94592,0.0087625,0.0087625,0.0087625
27,938.926,1.16235,0.63362,0.94979,0.91224,0.80057,0.89382,0.61481,1.07024,0.6022,0.95132,0.008713,0.008713,0.008713
28,973.431,1.15813,0.63281,0.9476,0.9169,0.78554,0.89897,0.63252,1.04447,0.57275,0.94277,0.0086635,0.0086635,0.0086635
29,1007.74,1.14386,0.62761,0.94661,0.91768,0.79372,0.89119,0.61272,1.05884,0.60456,0.94902,0.008614,0.008614,0.008614
30,1041.3,1.14528,0.62294,0.94657,0.91382,0.80005,0.89876,0.6183,1.07297,0.57641,0.95193,0.0085645,0.0085645,0.0085645
31,1075.26,1.14066,0.6235,0.94691,0.91831,0.79896,0.90412,0.63492,1.01051,0.55903,0.93858,0.008515,0.008515,0.008515
32,1109.51,1.12755,0.61361,0.94371,0.91334,0.81143,0.90294,0.63691,1.00843,0.55905,0.93646,0.0084655,0.0084655,0.0084655
33,1143.49,1.12055,0.61503,0.94298,0.92235,0.80135,0.90433,0.64015,1.00525,0.54819,0.93531,0.008416,0.008416,0.008416
34,1177.16,1.11818,0.60942,0.93957,0.91678,0.80778,0.90419,0.64728,0.98243,0.53616,0.92882,0.0083665,0.0083665,0.0083665
35,1210.83,1.11539,0.60531,0.93748,0.91732,0.80855,0.9029,0.64624,0.98694,0.54656,0.93126,0.008317,0.008317,0.008317
36,1244.72,1.11018,0.60565,0.93797,0.9167,0.80765,0.90889,0.64967,0.99041,0.53624,0.93217,0.0082675,0.0082675,0.0082675
37,1278.55,1.10474,0.60311,0.93674,0.90933,0.81653,0.90602,0.64814,0.99278,0.53853,0.9318,0.008218,0.008218,0.008218
38,1312.17,1.109,0.6014,0.93535,0.92612,0.81671,0.91113,0.65635,0.95695,0.52945,0.92154,0.0081685,0.0081685,0.0081685
39,1346.09,1.10446,0.60055,0.9361,0.92321,0.8173,0.90975,0.6494,0.99197,0.53836,0.93108,0.008119,0.008119,0.008119
40,1379.99,1.08258,0.58998,0.93339,0.92044,0.81679,0.9099,0.66343,0.96697,0.52559,0.92112,0.0080695,0.0080695,0.0080695
41,1413.96,1.09224,0.59391,0.93345,0.92265,0.81846,0.91343,0.66366,0.95357,0.52373,0.91979,0.00802,0.00802,0.00802
42,1448.9,1.08606,0.58969,0.9302,0.92081,0.81892,0.90934,0.65976,0.96683,0.52265,0.92287,0.0079705,0.0079705,0.0079705
43,1484.72,1.08319,0.58559,0.9276,0.9243,0.82117,0.91264,0.66257,0.9599,0.52202,0.92098,0.007921,0.007921,0.007921
44,1519.95,1.08686,0.58849,0.93045,0.92398,0.81421,0.91319,0.66036,0.9608,0.52097,0.92152,0.0078715,0.0078715,0.0078715
45,1555.11,1.07103,0.57923,0.92783,0.91223,0.82838,0.91372,0.66574,0.95123,0.51457,0.91894,0.007822,0.007822,0.007822
46,1589.72,1.06977,0.57897,0.92765,0.92993,0.82017,0.91423,0.66994,0.94091,0.50854,0.91602,0.0077725,0.0077725,0.0077725
47,1624.49,1.06993,0.57829,0.92559,0.92286,0.81944,0.91664,0.67383,0.94381,0.51461,0.92057,0.007723,0.007723,0.007723
48,1659.19,1.0649,0.57465,0.9269,0.9272,0.82642,0.91619,0.66945,0.94344,0.51278,0.91568,0.0076735,0.0076735,0.0076735
49,1693.58,1.06461,0.57559,0.92796,0.92227,0.82748,0.91821,0.6748,0.93005,0.50015,0.91459,0.007624,0.007624,0.007624
50,1727.79,1.05169,0.56867,0.92764,0.9197,0.82413,0.91454,0.65724,0.97367,0.52304,0.92175,0.0075745,0.0075745,0.0075745
51,1761.98,1.0498,0.56764,0.92474,0.93253,0.81675,0.91612,0.67239,0.93959,0.50602,0.91364,0.007525,0.007525,0.007525
52,1796.29,1.05159,0.56703,0.92233,0.92312,0.83018,0.91963,0.67249,0.94711,0.50252,0.91801,0.0074755,0.0074755,0.0074755
53,1830.32,1.04112,0.56527,0.92399,0.92478,0.82468,0.9161,0.66655,0.94221,0.50734,0.91428,0.007426,0.007426,0.007426
54,1864.16,1.05342,0.56853,0.92327,0.92369,0.82597,0.91637,0.67153,0.94958,0.49829,0.91938,0.0073765,0.0073765,0.0073765
